name,price
William Dixon,109.0372796
Kristen Horn,262.5246522
Kimberly Chang,187.0072583
Mary Ball,283.1746476
Benjamin Craig,143.8715817
Cathy Werner,61.50899135
Brandon Bell,48.6373091
Paul Farley,12.38946479
Sarah Mcdaniel,151.5954472
Caroline Anderson,75.62152103
Carl Jones,147.0294047
Scott Lee,244.1856527
Kaylee Coleman,17.86427032
Charles Parker,215.537283
Susan Hess,38.35997063
Kiara Collier,204.1825486
Mr. Scott Martinez,165.8514289
Christopher Ortega,30.30144506
Michael Russell,243.1724911
Dwayne Johnson,287.4932856
Patty Smith,180.2344257
Deanna Sherman,99.79911842
Douglas Francis,161.7688908
Vicki Diaz,18.64987672
Robin Phillips,244.9119836
Travis Rice,141.4988254
Ashley Rocha,50.00303731
Sarah Jacobson,80.48182457
Kayla Shannon,98.91531394
Sean Wang DDS,220.6282177
Richard Estrada,49.16869151
Joseph Torres,150.1237842
Kim Jones,18.8434377
Melissa Tanner,269.1840299
Jackson Cline,64.31251721
Sonya Foster,296.2155012
Allen Williams,15.3908317
Mr. Thomas Rivera,95.22843716
Jamie Silva,296.8244075
Kathleen Moore,92.50052419
Evelyn Pineda,169.2289293
Kyle Peters,106.7990952
Anthony Cruz,49.10199817
Eric Flores,122.9556986
Anna Richardson,254.4952606
Gary Harper,47.59652592
Linda Johnson,115.3627815
Melissa Smith,87.97994846
Kristen Floyd,135.0230413
William Diaz,192.1491355
Benjamin Smith,134.9052939
David Glenn,216.2910463
Dawn Jones,271.6144999
Joel Smith,14.4949198
Mr. Larry Grimes MD,268.6758682
Joseph Arnold,121.7750468
Kyle Long,241.6216391
Brittany Day,261.5460574
Bobby Ward,63.5130358
Thomas Lee,254.0755771
Jennifer Hansen,101.4887352
Lisa Murray,176.0919174
Meghan Wade,273.2303409
Tammie Brooks,84.88856949
Maria Bell,264.0746652
Allison Livingston,130.3484426
Chris Hays,17.34276379
Courtney Mitchell,78.93257699
Shawn White,188.0219256
Taylor Gomez,225.0198237
Jeremy Rodriguez,200.7248208
April Garcia,66.24555967
Zachary Watts,15.49738786
Sarah Montoya,206.8212547
Jennifer Barker,89.18615989
Sharon Garza,72.35772704
Tiffany Stevens,196.379322
Ruben Armstrong,93.69836738
Dr. Jeffrey Spencer,271.162282
Nicole Ramsey,247.8596071
Anne Roy,277.9324821
Lori Sanchez,285.6616405
Allison Chavez,126.850211
Marcus Adams,36.47040894
Mary Smith,16.31507197
Joseph Reed,178.4576742
Jason Armstrong,26.04525746
Jeff Armstrong,88.47561284
Sean Shields,247.8395255
Jessica Allison,104.742308
Christian Grant,99.11707917
Edward Watson,180.3535589
Derrick Cooke,142.090116
Arthur Hall MD,235.9669749
Sean Patrick,139.4507994
Heather Collins,127.3925734
Megan Gomez,107.8624451
William Hale,114.6709254
Olivia Thompson,8.608441014
Lori Torres,18.85827433
Vickie Hernandez,214.9321807
Kimberly Brown,40.3199327
Sherry Meza,182.8545499
Phillip Hansen,44.11611704
Jeanette Knight,28.68694329
Kayla Hanson,27.63036397
James Johnston,284.4290554
Dr. John Porter,53.72799274
